fruit,price,grade,supplier,updated
pomegranate_imported_premium_0478,3.92,A,S107,2026-04-24
lime_organic_kg_0479,2.09,C,S114,2026-04-24
lemon_standard_family_0480,2.43,B,S001,2026-04-24
apple_granny_smith_value_0481,2.82,A,S008,2026-04-24
banana_organic_box_0482,1.32,C,S015,2026-04-24
orange_easy_peel_single_0483,2.16,B,S022,2026-04-24
mango_kent_organic_0484,6.00,A,S029,2026-04-24
grapes_red_premium_0485,5.20,A,S036,2026-04-24
pear_packham_kg_0486,2.71,B,S043,2026-04-24
kiwi_gold_family_0487,4.42,A,S050,2026-04-24
strawberry_premium_value_0488,4.90,B,S057,2026-04-24
blueberry_organic_box_0489,7.41,C,S064,2026-04-24
pineapple_whole_single_0490,3.08,A,S071,2026-04-24
watermelon_slice_pack_organic_0491,4.13,C,S078,2026-04-24
raspberry_uk_premium_0492,6.12,C,S085,2026-04-24
cherry_turkish_kg_0493,8.29,B,S092,2026-04-24
plum_black_family_0494,2.89,B,S099,2026-04-24
peach_yellow_value_0495,3.58,A,S106,2026-04-24
apricot_premium_box_0496,3.94,B,S113,2026-04-24
papaya_green_single_0497,5.22,C,S120,2026-04-24
pomegranate_imported_organic_0498,3.65,C,S007,2026-04-24
lime_organic_premium_0499,2.41,B,S014,2026-04-24
lemon_standard_kg_0500,2.27,C,S021,2026-04-24
apple_granny_smith_family_0501,3.24,B,S028,2026-04-24
banana_organic_value_0502,1.18,C,S035,2026-04-24
orange_easy_peel_box_0503,2.48,A,S042,2026-04-24
mango_kent_single_0504,5.37,A,S049,2026-04-24
grapes_red_organic_0505,4.70,A,S056,2026-04-24
pear_packham_premium_0506,2.51,B,S063,2026-04-24
kiwi_gold_kg_0507,3.97,A,S070,2026-04-24
strawberry_premium_family_0508,5.60,C,S077,2026-04-24
blueberry_organic_value_0509,6.65,A,S084,2026-04-24
pineapple_whole_box_0510,3.53,A,S091,2026-04-24
watermelon_slice_pack_single_0511,3.83,C,S098,2026-04-24
raspberry_uk_organic_0512,7.00,B,S105,2026-04-24
cherry_turkish_premium_0513,7.47,A,S112,2026-04-24
plum_black_kg_0514,3.06,C,S119,2026-04-24
peach_yellow_family_0515,3.34,A,S006,2026-04-24
apricot_premium_value_0516,4.52,A,S013,2026-04-24
papaya_green_box_0517,4.87,A,S020,2026-04-24
pomegranate_imported_single_0518,4.20,B,S027,2026-04-24
lime_organic_organic_0519,2.16,C,S034,2026-04-24
lemon_standard_premium_0520,2.60,C,S041,2026-04-24
apple_granny_smith_kg_0521,2.90,B,S048,2026-04-24
banana_organic_family_0522,1.30,B,S055,2026-04-24
orange_easy_peel_value_0523,2.23,A,S062,2026-04-24
mango_kent_box_0524,5.94,B,S069,2026-04-24
grapes_red_single_0525,4.37,A,S076,2026-04-24
pear_packham_organic_0526,2.79,B,S083,2026-04-24
kiwi_gold_premium_0527,3.68,A,S090,2026-04-24
strawberry_premium_kg_0528,5.24,A,S097,2026-04-24
blueberry_organic_family_0529,6.17,B,S104,2026-04-24
pineapple_whole_value_0530,3.30,A,S111,2026-04-24
watermelon_slice_pack_box_0531,4.17,C,S118,2026-04-24
raspberry_uk_single_0532,6.32,A,S005,2026-04-24
cherry_turkish_organic_0533,8.19,B,S012,2026-04-24
plum_black_premium_0534,2.86,A,S019,2026-04-24
peach_yellow_kg_0535,3.82,A,S026,2026-04-24
apricot_premium_family_0536,4.06,C,S033,2026-04-24
papaya_green_value_0537,5.57,A,S040,2026-04-24
pomegranate_imported_box_0538,3.76,A,S047,2026-04-24
lime_organic_single_0539,2.47,A,S054,2026-04-24
lemon_standard_organic_0540,2.34,A,S061,2026-04-24
apple_granny_smith_premium_0541,3.21,C,S068,2026-04-24
banana_organic_kg_0542,1.22,A,S075,2026-04-24
orange_easy_peel_family_0543,2.46,A,S082,2026-04-24
mango_kent_value_0544,5.52,A,S089,2026-04-24
grapes_red_box_0545,5.02,A,S096,2026-04-24
pear_packham_single_0546,2.59,B,S103,2026-04-24
kiwi_gold_organic_0547,4.24,A,S110,2026-04-24
strawberry_premium_premium_0548,4.68,C,S117,2026-04-24
blueberry_organic_kg_0549,6.85,A,S004,2026-04-24
pineapple_whole_family_0550,2.84,A,S011,2026-04-24
watermelon_slice_pack_value_0551,3.87,A,S018,2026-04-24
raspberry_uk_box_0552,5.85,C,S025,2026-04-24
cherry_turkish_single_0553,7.67,C,S032,2026-04-24
plum_black_organic_0554,3.27,C,S039,2026-04-24
peach_yellow_premium_0555,3.43,A,S046,2026-04-24
apricot_premium_kg_0556,4.64,B,S053,2026-04-24
papaya_green_family_0557,5.20,B,S060,2026-04-24
pomegranate_imported_value_0558,4.15,B,S067,2026-04-24
lime_organic_box_0559,2.23,C,S074,2026-04-24
lemon_standard_single_0560,2.58,B,S081,2026-04-24
apple_granny_smith_organic_0561,2.99,A,S088,2026-04-24
banana_organic_premium_0562,1.34,B,S095,2026-04-24
orange_easy_peel_kg_0563,2.30,C,S102,2026-04-24
mango_kent_family_0564,6.34,C,S109,2026-04-24
grapes_red_value_0565,4.50,C,S116,2026-04-24
pear_packham_box_0566,2.97,B,S003,2026-04-24
kiwi_gold_single_0567,3.66,A,S010,2026-04-24
strawberry_premium_organic_0568,5.18,A,S017,2026-04-24
blueberry_organic_premium_0569,6.37,B,S024,2026-04-24
pineapple_whole_kg_0570,3.26,B,S031,2026-04-24
watermelon_slice_pack_family_0571,3.57,A,S038,2026-04-24
raspberry_uk_value_0572,6.48,C,S045,2026-04-24
cherry_turkish_box_0573,7.12,A,S052,2026-04-24
plum_black_single_0574,2.94,B,S059,2026-04-24
peach_yellow_organic_0575,3.18,A,S066,2026-04-24
apricot_premium_premium_0576,4.18,C,S073,2026-04-24
papaya_green_kg_0577,5.50,B,S080,2026-04-24
pomegranate_imported_family_0578,3.88,A,S087,2026-04-24
lime_organic_value_0579,2.44,A,S094,2026-04-24
lemon_standard_box_0580,2.40,B,S101,2026-04-24
apple_granny_smith_single_0581,3.43,A,S108,2026-04-24
banana_organic_organic_0582,1.26,A,S115,2026-04-24
orange_easy_peel_premium_0583,2.62,B,S002,2026-04-24
mango_kent_kg_0584,5.68,A,S009,2026-04-24
grapes_red_family_0585,4.97,C,S016,2026-04-24
pear_packham_value_0586,2.67,B,S023,2026-04-24
kiwi_gold_box_0587,4.19,B,S030,2026-04-24
strawberry_premium_single_0588,4.84,A,S037,2026-04-24
blueberry_organic_organic_0589,7.03,A,S044,2026-04-24
pineapple_whole_premium_0590,3.04,A,S051,2026-04-24
watermelon_slice_pack_kg_0591,3.90,A,S058,2026-04-24
raspberry_uk_family_0592,6.03,C,S065,2026-04-24
cherry_turkish_value_0593,8.20,C,S072,2026-04-24
plum_black_box_0594,2.63,B,S079,2026-04-24
peach_yellow_single_0595,3.54,C,S086,2026-04-24
apricot_premium_organic_0596,3.73,C,S093,2026-04-24
papaya_green_premium_0597,5.15,A,S100,2026-04-24
pomegranate_imported_kg_0598,3.60,A,S107,2026-04-24
lime_organic_family_0599,2.29,C,S114,2026-04-24
lemon_standard_value_0600,2.75,A,S001,2026-04-24
apple_granny_smith_box_0601,3.08,C,S008,2026-04-24
banana_organic_single_0602,1.43,B,S015,2026-04-24
orange_easy_peel_organic_0603,2.27,B,S022,2026-04-24
mango_kent_premium_0604,6.27,A,S029,2026-04-24
grapes_red_kg_0605,4.64,A,S036,2026-04-24
pear_packham_family_0606,2.94,B,S043,2026-04-24
kiwi_gold_value_0607,3.91,B,S050,2026-04-24
strawberry_premium_box_0608,5.32,A,S057,2026-04-24
blueberry_organic_single_0609,6.56,B,S064,2026-04-24
pineapple_whole_organic_0610,3.49,C,S071,2026-04-24
watermelon_slice_pack_premium_0611,3.61,A,S078,2026-04-24
raspberry_uk_kg_0612,6.68,B,S085,2026-04-24
cherry_turkish_family_0613,7.06,C,S092,2026-04-24
plum_black_value_0614,3.04,C,S099,2026-04-24
peach_yellow_box_0615,3.16,B,S106,2026-04-24
apricot_premium_single_0616,4.30,A,S113,2026-04-24
papaya_green_organic_0617,4.79,A,S120,2026-04-24
pomegranate_imported_premium_0618,3.99,A,S007,2026-04-24
lime_organic_kg_0619,2.13,A,S014,2026-04-24
lemon_standard_family_0620,2.47,B,S021,2026-04-24
apple_granny_smith_value_0621,2.75,C,S028,2026-04-24
banana_organic_box_0622,1.29,A,S035,2026-04-24
orange_easy_peel_single_0623,2.60,B,S042,2026-04-24
mango_kent_organic_0624,5.86,A,S049,2026-04-24
grapes_red_premium_0625,5.09,B,S056,2026-04-24
pear_packham_kg_0626,2.75,B,S063,2026-04-24
kiwi_gold_family_0627,4.48,A,S070,2026-04-24
strawberry_premium_value_0628,4.96,B,S077,2026-04-24
blueberry_organic_box_0629,7.51,A,S084,2026-04-24
pineapple_whole_single_0630,3.01,A,S091,2026-04-24
watermelon_slice_pack_organic_0631,4.10,A,S098,2026-04-24
raspberry_uk_premium_0632,5.97,A,S105,2026-04-24
cherry_turkish_kg_0633,8.11,B,S112,2026-04-24
plum_black_family_0634,2.83,B,S119,2026-04-24
peach_yellow_value_0635,3.62,A,S006,2026-04-24
apricot_premium_box_0636,4.00,A,S013,2026-04-24
papaya_green_single_0637,5.28,B,S020,2026-04-24
pomegranate_imported_organic_0638,3.71,C,S027,2026-04-24
lime_organic_premium_0639,2.35,C,S034,2026-04-24
lemon_standard_kg_0640,2.21,A,S041,2026-04-24
apple_granny_smith_family_0641,3.17,A,S048,2026-04-24
banana_organic_value_0642,1.15,A,S055,2026-04-24
orange_easy_peel_box_0643,2.43,A,S062,2026-04-24
mango_kent_single_0644,5.22,A,S069,2026-04-24
grapes_red_organic_0645,4.77,A,S076,2026-04-24
pear_packham_premium_0646,3.14,B,S083,2026-04-24
kiwi_gold_kg_0647,4.02,B,S090,2026-04-24
strawberry_premium_family_0648,5.47,A,S097,2026-04-24
blueberry_organic_value_0649,6.49,A,S104,2026-04-24
pineapple_whole_box_0650,3.44,B,S111,2026-04-24
watermelon_slice_pack_single_0651,3.80,C,S118,2026-04-24
raspberry_uk_organic_0652,6.85,B,S005,2026-04-24
cherry_turkish_premium_0653,7.56,A,S012,2026-04-24
plum_black_kg_0654,3.11,C,S019,2026-04-24
peach_yellow_family_0655,3.39,C,S026,2026-04-24
apricot_premium_value_0656,4.40,A,S033,2026-04-24
papaya_green_box_0657,4.75,A,S040,2026-04-24
pomegranate_imported_single_0658,4.10,C,S047,2026-04-24
lime_organic_organic_0659,2.10,A,S054,2026-04-24
lemon_standard_premium_0660,2.55,B,S061,2026-04-24
apple_granny_smith_kg_0661,2.84,A,S068,2026-04-24
banana_organic_family_0662,1.33,A,S075,2026-04-24
orange_easy_peel_value_0663,2.25,A,S082,2026-04-24
mango_kent_box_0664,6.02,A,S089,2026-04-24
grapes_red_single_0665,4.43,A,S096,2026-04-24
pear_packham_organic_0666,2.72,A,S103,2026-04-24
kiwi_gold_premium_0667,3.59,A,S110,2026-04-24
strawberry_premium_kg_0668,5.12,A,S117,2026-04-24
blueberry_organic_family_0669,7.42,A,S004,2026-04-24
pineapple_whole_value_0670,3.23,B,S011,2026-04-24
watermelon_slice_pack_box_0671,4.14,A,S018,2026-04-24
raspberry_uk_single_0672,6.40,A,S025,2026-04-24
cherry_turkish_organic_0673,8.31,C,S032,2026-04-24
plum_black_premium_0674,2.90,A,S039,2026-04-24
peach_yellow_kg_0675,3.73,C,S046,2026-04-24
apricot_premium_family_0676,3.96,A,S053,2026-04-24
papaya_green_value_0677,5.45,B,S060,2026-04-24
pomegranate_imported_box_0678,3.67,B,S067,2026-04-24
lime_organic_single_0679,2.41,A,S074,2026-04-24
lemon_standard_organic_0680,2.37,C,S081,2026-04-24
apple_granny_smith_premium_0681,3.25,A,S088,2026-04-24
banana_organic_kg_0682,1.23,A,S095,2026-04-24
orange_easy_peel_family_0683,2.49,C,S102,2026-04-24
mango_kent_value_0684,5.39,A,S109,2026-04-24
grapes_red_box_0685,4.71,C,S116,2026-04-24
pear_packham_single_0686,2.53,C,S003,2026-04-24
kiwi_gold_organic_0687,4.14,A,S010,2026-04-24
strawberry_premium_premium_0688,4.56,A,S017,2026-04-24
blueberry_organic_kg_0689,6.95,A,S024,2026-04-24
pineapple_whole_family_0690,2.87,C,S031,2026-04-24
watermelon_slice_pack_value_0691,3.84,B,S038,2026-04-24
raspberry_uk_box_0692,7.31,B,S045,2026-04-24
cherry_turkish_single_0693,7.49,A,S052,2026-04-24
plum_black_organic_0694,3.20,B,S059,2026-04-24
peach_yellow_premium_0695,3.35,B,S066,2026-04-24
apricot_premium_kg_0696,4.53,A,S073,2026-04-24
papaya_green_family_0697,4.88,A,S080,2026-04-24
pomegranate_imported_value_0698,4.21,A,S087,2026-04-24
lime_organic_box_0699,2.25,A,S094,2026-04-24
lemon_standard_single_0700,2.61,B,S101,2026-04-24
apple_granny_smith_organic_0701,3.03,B,S108,2026-04-24
banana_organic_premium_0702,1.31,C,S115,2026-04-24
orange_easy_peel_kg_0703,2.24,B,S002,2026-04-24
mango_kent_family_0704,6.20,A,S009,2026-04-24
grapes_red_value_0705,4.39,A,S016,2026-04-24
pear_packham_box_0706,2.90,B,S023,2026-04-24
kiwi_gold_single_0707,3.70,A,S030,2026-04-24
strawberry_premium_organic_0708,5.26,B,S037,2026-04-24
blueberry_organic_premium_0709,6.45,B,S044,2026-04-24
pineapple_whole_kg_0710,3.31,C,S051,2026-04-24
watermelon_slice_pack_family_0711,3.54,B,S058,2026-04-24
raspberry_uk_value_0712,6.34,A,S065,2026-04-24
cherry_turkish_box_0713,6.95,B,S072,2026-04-24
plum_black_single_0714,2.87,A,S079,2026-04-24
peach_yellow_organic_0715,3.83,B,S086,2026-04-24
apricot_premium_premium_0716,4.24,A,S093,2026-04-24
papaya_green_kg_0717,5.58,A,S100,2026-04-24
pomegranate_imported_family_0718,3.93,A,S107,2026-04-24
lime_organic_value_0719,2.47,A,S114,2026-04-24
lemon_standard_box_0720,2.34,B,S001,2026-04-24
apple_granny_smith_single_0721,3.35,B,S008,2026-04-24
banana_organic_organic_0722,1.23,A,S015,2026-04-24
orange_easy_peel_premium_0723,2.57,A,S022,2026-04-24
mango_kent_kg_0724,5.55,A,S029,2026-04-24
grapes_red_family_0725,5.03,B,S036,2026-04-24
pear_packham_value_0726,2.60,A,S043,2026-04-24
kiwi_gold_box_0727,4.25,A,S050,2026-04-24
strawberry_premium_single_0728,4.90,A,S057,2026-04-24
blueberry_organic_organic_0729,6.87,B,S064,2026-04-24
pineapple_whole_premium_0730,2.97,B,S071,2026-04-24
watermelon_slice_pack_kg_0731,3.88,C,S078,2026-04-24
raspberry_uk_family_0732,5.88,A,S085,2026-04-24
cherry_turkish_value_0733,8.01,C,S092,2026-04-24
plum_black_box_0734,2.67,B,S099,2026-04-24
peach_yellow_single_0735,3.58,A,S106,2026-04-24
apricot_premium_organic_0736,3.77,A,S113,2026-04-24
papaya_green_premium_0737,5.22,C,S120,2026-04-24
pomegranate_imported_kg_0738,4.15,B,S007,2026-04-24
lime_organic_family_0739,2.23,C,S014,2026-04-24
lemon_standard_value_0740,2.69,A,S021,2026-04-24
apple_granny_smith_box_0741,3.01,A,S028,2026-04-24
banana_organic_single_0742,1.40,C,S035,2026-04-24
orange_easy_peel_organic_0743,2.30,B,S042,2026-04-24
mango_kent_premium_0744,6.36,C,S049,2026-04-24
grapes_red_kg_0745,4.70,A,S056,2026-04-24
pear_packham_family_0746,2.98,A,S063,2026-04-24
kiwi_gold_value_0747,3.82,A,S070,2026-04-24
strawberry_premium_box_0748,5.19,B,S077,2026-04-24
blueberry_organic_single_0749,6.40,A,S084,2026-04-24
pineapple_whole_organic_0750,3.41,B,S091,2026-04-24
watermelon_slice_pack_premium_0751,3.59,A,S098,2026-04-24
raspberry_uk_kg_0752,6.77,C,S105,2026-04-24
cherry_turkish_family_0753,7.15,C,S112,2026-04-24
plum_black_value_0754,3.08,A,S119,2026-04-24
peach_yellow_box_0755,3.20,A,S006,2026-04-24
apricot_premium_single_0756,4.20,C,S013,2026-04-24
papaya_green_organic_0757,4.67,B,S020,2026-04-24
pomegranate_imported_premium_0758,3.89,A,S027,2026-04-24
lime_organic_kg_0759,2.07,A,S034,2026-04-24
lemon_standard_family_0760,2.41,B,S041,2026-04-24
apple_granny_smith_value_0761,3.43,A,S048,2026-04-24
banana_organic_box_0762,1.31,A,S055,2026-04-24
orange_easy_peel_single_0763,2.63,A,S062,2026-04-24
mango_kent_organic_0764,5.94,A,S069,2026-04-24
grapes_red_premium_0765,4.98,C,S076,2026-04-24
pear_packham_kg_0766,2.68,B,S083,2026-04-24
kiwi_gold_family_0767,4.20,B,S090,2026-04-24
strawberry_premium_value_0768,4.86,B,S097,2026-04-24
blueberry_organic_box_0769,7.35,A,S104,2026-04-24
pineapple_whole_single_0770,3.05,C,S111,2026-04-24
watermelon_slice_pack_organic_0771,4.08,B,S118,2026-04-24
raspberry_uk_premium_0772,6.06,A,S005,2026-04-24
cherry_turkish_kg_0773,8.22,A,S012,2026-04-24
plum_black_family_0774,2.76,A,S019,2026-04-24
peach_yellow_value_0775,3.55,B,S026,2026-04-24
apricot_premium_box_0776,3.90,C,S033,2026-04-24
papaya_green_single_0777,5.17,A,S040,2026-04-24
pomegranate_imported_organic_0778,3.62,A,S047,2026-04-24
lime_organic_premium_0779,2.30,B,S054,2026-04-24
lemon_standard_kg_0780,2.25,B,S061,2026-04-24
apple_granny_smith_family_0781,3.22,B,S068,2026-04-24
banana_organic_value_0782,1.17,A,S075,2026-04-24
orange_easy_peel_box_0783,2.37,B,S082,2026-04-24
mango_kent_single_0784,6.28,A,S089,2026-04-24
grapes_red_organic_0785,4.66,C,S096,2026-04-24
pear_packham_premium_0786,3.07,C,S103,2026-04-24
kiwi_gold_kg_0787,3.92,B,S110,2026-04-24
strawberry_premium_family_0788,5.56,A,S117,2026-04-24
blueberry_organic_value_0789,6.59,B,S004,2026-04-24
pineapple_whole_box_0790,3.50,A,S011,2026-04-24
watermelon_slice_pack_single_0791,3.78,A,S018,2026-04-24
raspberry_uk_organic_0792,6.69,A,S025,2026-04-24
cherry_turkish_premium_0793,7.38,A,S032,2026-04-24
plum_black_kg_0794,3.04,A,S039,2026-04-24
peach_yellow_family_0795,3.30,C,S046,2026-04-24
apricot_premium_value_0796,4.31,A,S053,2026-04-24
papaya_green_box_0797,4.81,A,S060,2026-04-24
pomegranate_imported_single_0798,4.16,A,S067,2026-04-24
lime_organic_organic_0799,2.13,A,S074,2026-04-24
lemon_standard_premium_0800,2.58,A,S081,2026-04-24
apple_granny_smith_kg_0801,2.76,A,S088,2026-04-24
banana_organic_family_0802,1.30,B,S095,2026-04-24
orange_easy_peel_value_0803,2.20,B,S102,2026-04-24
mango_kent_box_0804,5.88,B,S109,2026-04-24
grapes_red_single_0805,4.32,A,S116,2026-04-24
pear_packham_organic_0806,2.76,A,S003,2026-04-24
kiwi_gold_premium_0807,4.49,A,S010,2026-04-24
strawberry_premium_kg_0808,4.98,B,S017,2026-04-24
blueberry_organic_family_0809,7.53,B,S024,2026-04-24
pineapple_whole_value_0810,3.15,B,S031,2026-04-24
watermelon_slice_pack_box_0811,4.11,C,S038,2026-04-24
raspberry_uk_single_0812,6.25,B,S045,2026-04-24
cherry_turkish_organic_0813,8.12,A,S052,2026-04-24
plum_black_premium_0814,2.84,A,S059,2026-04-24
peach_yellow_kg_0815,3.78,A,S066,2026-04-24
apricot_premium_family_0816,4.02,A,S073,2026-04-24
papaya_green_value_0817,5.52,A,S080,2026-04-24
pomegranate_imported_box_0818,3.72,B,S087,2026-04-24
lime_organic_single_0819,2.36,A,S094,2026-04-24
lemon_standard_organic_0820,2.22,C,S101,2026-04-24
apple_granny_smith_premium_0821,3.18,C,S108,2026-04-24
banana_organic_kg_0822,1.20,A,S115,2026-04-24
orange_easy_peel_family_0823,2.43,A,S002,2026-04-24
mango_kent_value_0824,5.47,B,S009,2026-04-24
grapes_red_box_0825,4.78,C,S016,2026-04-24
pear_packham_single_0826,2.56,C,S023,2026-04-24
kiwi_gold_organic_0827,4.20,A,S030,2026-04-24
strawberry_premium_premium_0828,4.46,C,S037,2026-04-24
blueberry_organic_kg_0829,6.79,B,S044,2026-04-24
pineapple_whole_family_0830,3.45,B,S051,2026-04-24
watermelon_slice_pack_value_0831,3.81,A,S058,2026-04-24
raspberry_uk_box_0832,7.14,A,S065,2026-04-24
cherry_turkish_single_0833,7.59,A,S072,2026-04-24
plum_black_organic_0834,3.24,B,S079,2026-04-24
peach_yellow_premium_0835,3.40,A,S086,2026-04-24
apricot_premium_kg_0836,4.60,A,S093,2026-04-24
papaya_green_family_0837,4.77,B,S100,2026-04-24
pomegranate_imported_value_0838,4.11,A,S107,2026-04-24
lime_organic_box_0839,2.20,A,S114,2026-04-24
lemon_standard_single_0840,2.55,A,S001,2026-04-24
apple_granny_smith_organic_0841,2.96,C,S008,2026-04-24
banana_organic_premium_0842,1.33,C,S015,2026-04-24
orange_easy_peel_kg_0843,2.26,A,S022,2026-04-24
mango_kent_family_0844,6.29,A,S029,2026-04-24
grapes_red_value_0845,4.45,C,S036,2026-04-24
pear_packham_box_0846,2.84,C,S043,2026-04-24
kiwi_gold_single_0847,3.61,B,S050,2026-04-24
strawberry_premium_organic_0848,5.14,A,S057,2026-04-24
blueberry_organic_premium_0849,6.05,A,S064,2026-04-24
pineapple_whole_kg_0850,3.24,A,S071,2026-04-24
watermelon_slice_pack_family_0851,3.51,A,S078,2026-04-24
raspberry_uk_value_0852,6.42,C,S085,2026-04-24
cherry_turkish_box_0853,8.67,B,S092,2026-04-24
plum_black_single_0854,2.91,C,S099,2026-04-24
peach_yellow_organic_0855,3.74,B,S106,2026-04-24
apricot_premium_premium_0856,4.14,B,S113,2026-04-24
papaya_green_kg_0857,5.46,B,S120,2026-04-24
pomegranate_imported_family_0858,3.84,A,S007,2026-04-24
lime_organic_value_0859,2.42,A,S014,2026-04-24
lemon_standard_box_0860,2.38,A,S021,2026-04-24
apple_granny_smith_single_0861,3.26,B,S028,2026-04-24
banana_organic_organic_0862,1.24,B,S035,2026-04-24
orange_easy_peel_premium_0863,2.60,C,S042,2026-04-24
mango_kent_kg_0864,5.41,A,S049,2026-04-24
grapes_red_family_0865,4.92,A,S056,2026-04-24
pear_packham_value_0866,2.54,B,S063,2026-04-24
kiwi_gold_box_0867,4.15,A,S070,2026-04-24
strawberry_premium_single_0868,4.78,B,S077,2026-04-24
blueberry_organic_organic_0869,6.97,B,S084,2026-04-24
pineapple_whole_premium_0870,3.01,A,S091,2026-04-24
watermelon_slice_pack_kg_0871,3.85,A,S098,2026-04-24
raspberry_uk_family_0872,5.96,C,S105,2026-04-24
cherry_turkish_value_0873,7.83,C,S112,2026-04-24
plum_black_box_0874,2.61,B,S119,2026-04-24
peach_yellow_single_0875,3.50,A,S006,2026-04-24
apricot_premium_organic_0876,4.54,A,S013,2026-04-24
papaya_green_premium_0877,5.10,B,S020,2026-04-24
pomegranate_imported_kg_0878,4.22,B,S027,2026-04-24
lime_organic_family_0879,2.26,A,S034,2026-04-24
lemon_standard_value_0880,2.72,B,S041,2026-04-24
apple_granny_smith_box_0881,3.04,A,S048,2026-04-24
banana_organic_single_0882,1.37,B,S055,2026-04-24
orange_easy_peel_organic_0883,2.25,C,S062,2026-04-24
mango_kent_premium_0884,6.21,A,S069,2026-04-24
grapes_red_kg_0885,4.59,B,S076,2026-04-24
pear_packham_family_0886,2.91,A,S083,2026-04-24
kiwi_gold_value_0887,3.87,B,S090,2026-04-24
strawberry_premium_box_0888,5.27,C,S097,2026-04-24
blueberry_organic_single_0889,6.48,A,S104,2026-04-24
pineapple_whole_organic_0890,3.32,B,S111,2026-04-24
watermelon_slice_pack_premium_0891,3.56,B,S118,2026-04-24
raspberry_uk_kg_0892,6.62,B,S005,2026-04-24
cherry_turkish_family_0893,6.99,A,S012,2026-04-24
plum_black_value_0894,3.01,A,S019,2026-04-24
peach_yellow_box_0895,3.12,B,S026,2026-04-24
apricot_premium_single_0896,4.26,A,S033,2026-04-24
papaya_green_organic_0897,4.73,B,S040,2026-04-24
pomegranate_imported_premium_0898,3.94,B,S047,2026-04-24
lime_organic_kg_0899,2.58,B,S054,2026-04-24
lemon_standard_family_0900,2.35,B,S061,2026-04-24
apple_granny_smith_value_0901,3.35,B,S068,2026-04-24
banana_organic_box_0902,1.23,A,S075,2026-04-24
orange_easy_peel_single_0903,2.57,B,S082,2026-04-24
mango_kent_organic_0904,5.80,C,S089,2026-04-24
grapes_red_premium_0905,5.04,B,S096,2026-04-24
pear_packham_kg_0906,2.72,B,S103,2026-04-24
kiwi_gold_family_0907,4.26,B,S110,2026-04-24
strawberry_premium_value_0908,4.92,A,S117,2026-04-24
blueberry_organic_box_0909,7.18,C,S004,2026-04-24
pineapple_whole_single_0910,2.98,A,S011,2026-04-24
watermelon_slice_pack_organic_0911,4.05,A,S018,2026-04-24
raspberry_uk_premium_0912,5.91,B,S025,2026-04-24
cherry_turkish_kg_0913,8.03,C,S032,2026-04-24
plum_black_family_0914,2.80,A,S039,2026-04-24
peach_yellow_value_0915,3.59,B,S046,2026-04-24
apricot_premium_box_0916,3.95,A,S053,2026-04-24
papaya_green_single_0917,5.23,A,S060,2026-04-24
pomegranate_imported_organic_0918,3.53,B,S067,2026-04-24
lime_organic_premium_0919,2.24,A,S074,2026-04-24
lemon_standard_kg_0920,2.19,A,S081,2026-04-24
apple_granny_smith_family_0921,3.14,A,S088,2026-04-24
banana_organic_value_0922,1.40,B,S095,2026-04-24
orange_easy_peel_box_0923,2.40,C,S102,2026-04-24
mango_kent_single_0924,6.37,A,S109,2026-04-24
grapes_red_organic_0925,4.72,B,S116,2026-04-24
pear_packham_premium_0926,3.11,B,S003,2026-04-24
kiwi_gold_kg_0927,3.84,B,S010,2026-04-24
strawberry_premium_family_0928,5.43,A,S017,2026-04-24
blueberry_organic_value_0929,6.43,A,S024,2026-04-24
pineapple_whole_box_0930,3.42,A,S031,2026-04-24
watermelon_slice_pack_single_0931,3.59,A,S038,2026-04-24
raspberry_uk_organic_0932,6.79,C,S045,2026-04-24
cherry_turkish_premium_0933,7.49,B,S052,2026-04-24
plum_black_kg_0934,3.08,B,S059,2026-04-24
peach_yellow_family_0935,3.34,B,S066,2026-04-24
apricot_premium_value_0936,4.21,B,S073,2026-04-24
papaya_green_box_0937,4.70,B,S080,2026-04-24
pomegranate_imported_single_0938,4.07,B,S087,2026-04-24
lime_organic_organic_0939,2.08,B,S094,2026-04-24
lemon_standard_premium_0940,2.52,B,S101,2026-04-24
apple_granny_smith_kg_0941,2.80,B,S108,2026-04-24
banana_organic_family_0942,1.32,C,S115,2026-04-24
orange_easy_peel_value_0943,2.14,B,S002,2026-04-24
mango_kent_box_0944,5.96,A,S009,2026-04-24
grapes_red_single_0945,5.19,A,S016,2026-04-24
pear_packham_organic_0946,2.69,B,S023,2026-04-24
kiwi_gold_premium_0947,4.39,A,S030,2026-04-24
strawberry_premium_kg_0948,4.87,C,S037,2026-04-24
blueberry_organic_family_0949,7.36,A,S044,2026-04-24
pineapple_whole_value_0950,3.19,B,S051,2026-04-24
watermelon_slice_pack_box_0951,4.09,B,S058,2026-04-24
raspberry_uk_single_0952,6.34,A,S065,2026-04-24
cherry_turkish_organic_0953,8.24,A,S072,2026-04-24
plum_black_premium_0954,2.77,B,S079,2026-04-24
peach_yellow_kg_0955,3.70,C,S086,2026-04-24
apricot_premium_family_0956,3.92,B,S093,2026-04-24
papaya_green_value_0957,5.39,A,S100,2026-04-24
pomegranate_imported_box_0958,3.63,A,S107,2026-04-24
lime_organic_single_0959,2.39,A,S114,2026-04-24
lemon_standard_organic_0960,2.25,A,S001,2026-04-24
apple_granny_smith_premium_0961,3.23,C,S008,2026-04-24
banana_organic_kg_0962,1.22,A,S015,2026-04-24
